Stock Solution c_S1=0.027893829345703128,c_Ion1=0.105,c_Stot=0.3060645740716982
	0	c_Stot	c_Iontot	c_S1	c_Ion1	Mcount	Scount	Ioncount
58	0.0445	0.05130637127955261	0.05130604190609631	0.03819873046875	0.0445	3.5902373475184244e-06	6.878875602905205e-05	2.6753556929347277e-05
59	0.04525	0.05230898172330949	0.05231010715558694	0.038709960937499996	0.04525	5.4531021102601625e-06	0.00012345533710822476	5.1273132588867953e-05
60	0.046	0.05328839672529505	0.05333036934026514	0.039171875	0.046	8.631676115468246e-06	0.00022442101894846328	9.822761160060978e-05
61	0.04675	0.05436329921315052	0.05440142499676345	0.039627929687499994	0.04675	1.450287863043059e-05	0.0004219292189662563	0.00019298518687833888
62	0.0475	0.05552306950227268	0.05554728612147881	0.04003173828125001	0.0475	2.4720231053351077e-05	0.0007809242153932611	0.0003704222558367082
63	0.04825	0.05673243143050272	0.056784119738295905	0.040333984375	0.04825	4.035697951027346e-05	0.0013486390906648424	0.000659205792460503
64	0.049	0.05817701806495687	0.058187073681263926	0.040578125	0.049	6.43741988112522e-05	0.0022422707493469016	0.0011253726344549742
65	0.04975	0.05971925458391818	0.059724427907678304	0.04071337890624999	0.04975	9.510543411728436e-05	0.0034098888350008946	0.0017505766668531111
66	0.0505	0.06150235551386825	0.061450196660837175	0.04078466796875001	0.0505	0.00013427226134577028	0.00492263274303377	0.0025789726745399436
67	0.05125	0.06325533387539728	0.06324217205039885	0.0407647705078125	0.05125	0.00017590239782985567	0.006556164605649832	0.0034961378410635555
68	0.052000000000000005	0.0651484993333638	0.06516331688910172	0.040701171875	0.052	0.0002223963948012875	0.008402905790119285	0.004553810957157033
69	0.05275	0.06735684170977642	0.06729749784662857	0.04061853027343751	0.05275	0.0002771196451680971	0.01059714003675774	0.005829874545469758
70	0.0535	0.06950364390754508	0.0694546487709694	0.040490722656250006	0.0535	0.0003315820816289574	0.012806230927100669	0.007141467986470237
71	0.05425	0.07178318943571974	0.0717261371526877	0.0403431396484375	0.05425	0.00038966969980990424	0.015182235379106797	0.008573584917235144
72	0.055	0.0741129342811009	0.07406508278381888	0.04017578125	0.055	0.0004493311593919042	0.017642785142406595	0.010079562473989653
